# ----------------------------------------
# トラフィック獲得: セッションのメインのチャネル グループ（デフォルト チャネル グループ）
# アカウント: Default Account for Firebase
# プロパティ: ai-research-system
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251014
# 終了日: 20251110
セッションのメインのチャネル グループ（デフォルト チャネル グループ）,セッション,エンゲージのあったセッション数,エンゲージメント率,セッションあたりの平均エンゲージメント時間,セッションあたりのイベント数,イベント数,キーイベント,セッション キーイベント率,合計収益
Organic Search,2065,985,0.47699757869249393,32.15302663438257,5.190799031476997,10719,0,0,0.562703
Direct,327,146,0.44648318042813456,22.932721712538225,8.35474006116208,2732,0,0,0.155081
Unassigned,116,11,0.09482758620689655,31.620689655172413,3.8620689655172415,448,0,0,0.167066
Referral,70,43,0.6142857142857143,35.614285714285714,5.457142857142857,382,0,0,0.013731
Organic Social,1,0,0,0,3,3,0,0,0

# すべてのユーザー
# 開始日: 20250916
# 終了日: 20251013
セッションのメインのチャネル グループ（デフォルト チャネル グループ）,セッション,エンゲージのあったセッション数,エンゲージメント率,セッションあたりの平均エンゲージメント時間,セッションあたりのイベント数,イベント数,キーイベント,セッション キーイベント率,合計収益
Organic Search,61,32,0.5245901639344263,41.9344262295082,5.491803278688525,335,0,0,0
Direct,20,10,0.5,17.8,5.75,115,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0
Referral,1,1,1,59,4,4,0,0,0
Organic Social,0,0,0,0,0,0,0,0,0
